filename,band,gain,exp_time,bg_mean,bg_median,bg_std,bg_mode,masked_frac
20260407T195330_727_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5387.09130859375,5373.0,840.0106201171875,5344.8173828125,0.07744141607160816
20260407T195334_699_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5386.0048828125,5370.0,837.113525390625,5337.990234375,0.07526023332998089
20260407T195338_670_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5389.7060546875,5371.0,839.4510498046875,5333.587890625,0.08297923162023534
20260407T195342_642_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5389.26318359375,5374.0,838.9207153320312,5343.4736328125,0.08158692044654531
20260407T195346_614_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5394.111328125,5378.0,840.5067749023438,5345.77734375,0.08358581414060143
20260407T195350_586_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5395.8994140625,5378.0,839.5311889648438,5342.201171875,0.08396296389419693
20260407T195354_558_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5409.21044921875,5394.0,840.0467529296875,5363.5791015625,0.08265865432967917
20260407T195358_529_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5388.5830078125,5373.0,839.3588256835938,5341.833984375,0.08146120386201347
20260407T195402_501_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5390.6884765625,5375.0,839.2457885742188,5343.623046875,0.0739936387408227
20260407T195406_473_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5402.72802734375,5385.0,839.1898803710938,5349.5439453125,0.1255971537765262
20260407T195410_445_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5379.93359375,5366.0,837.5061645507812,5338.1328125,0.07948431057025043
20260407T195414_417_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5361.0009765625,5345.0,837.3991088867188,5312.998046875,0.08543384793321936
20260407T195418_388_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5356.93505859375,5342.0,837.859619140625,5312.1298828125,0.07926116363270642
20260407T195422_360_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5358.2529296875,5339.0,840.6407470703125,5300.494140625,0.09000364578095142
20260407T195426_332_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5357.0615234375,5341.0,837.6201171875,5308.876953125,0.07340591370813637
20260407T195430_304_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5359.1357421875,5340.0,835.937744140625,5301.728515625,0.08402582218646283
20260407T195434_276_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5362.2158203125,5346.0,837.039306640625,5313.568359375,0.07459393543196219
20260407T195438_247_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5390.18896484375,5374.0,838.2882690429688,5341.6220703125,0.08102433873076537
20260407T195442_219_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5436.73046875,5422.0,841.5123901367188,5392.5390625,0.07939316604646485
20260407T201824_914_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,7871.0390625,7872.0,774.483642578125,7873.921875,0.3667278487378055
20260407T201825_188_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,7882.33544921875,7872.0,772.0595092773438,7851.3291015625,0.3300783214321633
20260407T201828_885_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,7842.16552734375,7840.0,770.5219116210938,7835.6689453125,0.34176053504978376
20260407T201832_855_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,7833.86572265625,7824.0,769.2184448242188,7804.2685546875,0.32971060042240774
20260407T201824_914_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,6527.57275390625,6528.0,523.280517578125,6528.8544921875,0.3812764004827517
20260407T201825_188_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,6527.7646484375,6528.0,521.6808471679688,6528.470703125,0.3891305441013779
20260407T201828_885_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,6490.84716796875,6488.0,519.674560546875,6482.3056640625,0.37628230916222466
20260407T201832_855_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,6482.275390625,6480.0,517.5850219726562,6475.44921875,0.37369883335009557
20260407T201824_914_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,7873.72900390625,7872.0,773.9005737304688,7868.5419921875,0.34491916423614605
20260407T201825_188_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,7872.13916015625,7856.0,773.4767456054688,7823.7216796875,0.33292580207180933
20260407T201828_885_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,7842.1123046875,7840.0,770.5131225585938,7835.775390625,0.3324920798551745
20260407T201832_855_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,7830.00830078125,7824.0,770.6185302734375,7811.9833984375,0.32133473297797444
20260407T202035_003_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,2002.7474365234375,2000.0,397.3750305175781,1994.505126953125,0.25823757920144824
20260407T202038_973_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,2001.183349609375,2000.0,397.33770751953125,1997.63330078125,0.24949084783264608
20260407T202042_943_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,2001.1046142578125,2000.0,397.1823425292969,1997.790771484375,0.23324512219652016
20260407T202035_003_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1358.92333984375,1352.0,241.51211547851562,1338.1533203125,0.27345871467363975
20260407T202038_973_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1359.88671875,1360.0,242.7606964111328,1360.2265625,0.2787293824801368
20260407T202042_943_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1359.4241943359375,1360.0,241.51658630371094,1361.151611328125,0.26053819269838074
20260407T202035_003_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,1998.9891357421875,1984.0,397.5172119140625,1954.021728515625,0.23490772402695365
20260407T202038_973_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,2000.0989990234375,2000.0,397.4259033203125,1999.802001953125,0.23271711254148647
20260407T202042_943_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,1999.2060546875,1984.0,397.4372863769531,1953.587890625,0.2274150155888565
20260407T202303_508_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,3202.460205078125,3200.0,488.0113525390625,3195.07958984375,0.05924394046062557
20260407T202259_538_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,2347.82763671875,2344.0,304.28289794921875,2336.3447265625,0.07305390727144725
20260407T202303_508_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,2347.3466796875,2344.0,304.885498046875,2337.306640625,0.07416335612994066
20260407T202303_508_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,3198.0498046875,3184.0,488.1868591308594,3155.900390625,0.060108241979281905
20260407T202557_959_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,6985.19970703125,6976.0,720.76220703125,6957.6005859375,0.32715226792718494
20260407T202601_929_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,6993.05224609375,6976.0,718.4475708007812,6941.8955078125,0.3406322287036106
20260407T202605_899_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,6990.7998046875,6976.0,717.1741943359375,6946.400390625,0.34451687116564417
