filename,band,gain,exp_time,bg_median,bg_std,flux,m_sky,sigma_m
20260407T195430_304_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5350.0,838.8242797851562,173.37552124325927,18.203799195507692,0.17022645244163442
20260407T195434_276_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5350.0,836.5065307617188,173.37552124325927,18.203799195507692,0.1697561010183174
20260407T195438_247_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5378.0,842.2368774414062,174.28290714883147,18.198131655842555,0.1700291145106238
20260407T195442_219_StackInput_DarkSubtracted_b_band.new,blue,0.1287112,3.971754,5422.0,841.6830444335938,175.7087992861592,18.189284867449594,0.16853841411684856
20260407T195239_093_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3637.0,504.80267333984375,117.86294780593158,18.622825397923982,0.15069130119468474
20260407T195243_065_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3629.0,503.58599853515625,117.60369469005381,18.625216230059372,0.15065949810130042
20260407T195247_037_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3629.5,503.6990966796875,117.61989800979619,18.62506664871247,0.1506725745323424
20260407T195251_009_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3621.5,501.4776306152344,117.36064489391842,18.627462426718925,0.1503394349189452
20260407T195254_981_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3619.0,501.7738952636719,117.2796282952066,18.628212192790265,0.15053216857910157
20260407T195258_952_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3611.0,501.20989990234375,117.02037517932884,18.630614929493696,0.1506960920310093
20260407T195302_924_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3611.0,503.236083984375,117.02037517932884,18.630614929493696,0.15130529393016784
20260407T195306_896_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3608.0,502.4486389160156,116.92315526087467,18.631517328386003,0.15119414835674008
20260407T195310_868_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3615.0,503.9331970214844,117.15000173726771,18.62941289648439,0.15134723983574708
20260407T195314_840_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3616.0,502.9424133300781,117.18240837675243,18.629112596052448,0.15100790325012883
20260407T195318_811_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3615.0,502.7155151367188,117.15000173726771,18.62941289648439,0.1509815310605631
20260407T195322_783_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3614.5,503.8858642578125,117.13379841752536,18.62956307785329,0.15135395845198704
20260407T195326_755_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3619.5,503.0324096679688,117.29583161494897,18.628062198149596,0.15088887613662488
20260407T195330_727_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3620.5,504.37353515625,117.3282382544337,18.6277622710193,0.15124937083804466
20260407T195334_699_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3620.5,502.22747802734375,117.3282382544337,18.6277622710193,0.15060582043758794
20260407T195338_670_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3624.5,503.5183410644531,117.45786481237258,18.626563390340127,0.15082628304419282
20260407T195342_642_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3625.0,503.0398254394531,117.47406813211494,18.62641362329323,0.15066216233920396
20260407T195346_614_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3625.5,504.17138671875,117.4902714518573,18.626263876902435,0.15098024398304977
20260407T195350_586_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3630.0,504.21099853515625,117.63610132953855,18.62491708797048,0.15080492592551492
20260407T195354_558_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3639.5,502.8947448730469,117.9439644046434,18.62207934127073,0.15001863566662096
20260407T195358_529_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3625.5,503.20013427734375,117.4902714518573,18.626263876902435,0.150689390645404
20260407T195402_501_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3625.0,502.3785095214844,117.47406813211494,18.62641362329323,0.15046409594137258
20260407T195406_473_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3632.0,504.9387817382813,117.70091460850799,18.624319050938144,0.15093943704109364
20260407T195410_445_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3620.0,502.6217956542969,117.31203493469134,18.62791222422785,0.15074488495631774
20260407T195414_417_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3606.5,503.2300415039063,116.87454530164759,18.63196880924555,0.1514922656483547
20260407T195418_388_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3602.5,502.50439453125,116.74491874370871,18.633173676845693,0.1514417824129294
20260407T195422_360_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3603.5,501.8352966308594,116.77732538319343,18.63287233457211,0.1511981633279101
20260407T195426_332_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3602.5,502.1697387695313,116.74491874370871,18.633173676845693,0.15134092585206946
20260407T195430_304_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3607.0,501.8961486816406,116.89074862138995,18.631818294764855,0.15106976673791442
20260407T195434_276_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3608.5,503.1145629882813,116.93935858061703,18.63136687647628,0.15137355716679426
20260407T195438_247_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3629.5,503.91351318359375,117.61989800979619,18.62506664871247,0.15073671339397376
20260407T195442_219_StackInput_DarkSubtracted_g_band.new,green,0.1287112,3.971754,3657.0,506.6810607910156,118.51108059562601,18.61687124971565,0.15042483666962145
20260407T195239_093_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5397.0,843.0811157226562,174.8986332990412,18.19430260539773,0.16960036452475227
20260407T195243_065_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5394.0,841.44775390625,174.80141338058704,18.19490629526858,0.16936592999926137
20260407T195247_037_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5383.0,841.40771484375,174.4449403462551,18.19712270102154,0.1697039487285639
20260407T195251_009_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5379.0,839.5108032226562,174.3153137883162,18.19792978985615,0.16944727255230305
20260407T195254_981_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5374.0,840.72607421875,174.1532805908926,18.198939495317887,0.16985044636756547
20260407T195258_952_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5361.0,835.9575805664062,173.7319942775912,18.201569132497497,0.16929661354615694
20260407T195302_924_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5362.0,840.8119506835938,173.76440091707593,18.20136662644361,0.17024795502744833
20260407T195306_896_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5357.0,837.8847045898438,173.60236771965234,18.202379534628612,0.16981359413350633
20260407T195310_868_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5364.0,837.7791748046875,173.82921419604537,18.20096172761186,0.16957062827842082
20260407T195314_840_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5366.0,838.836669921875,173.8940274750148,18.20055697972096,0.16972138884349233
20260407T195318_811_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5363.0,837.7830810546875,173.79680755656065,18.20116415815309,0.16960303768433235
20260407T195322_783_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5362.0,839.5835571289062,173.76440091707593,18.20136662644361,0.16999922938732814
20260407T195326_755_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5366.0,839.2462158203125,173.8940274750148,18.20055697972096,0.16980425205294694
20260407T195330_727_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5373.0,840.0106201171875,174.12087395140787,18.19914154913903,0.1697374893469627
20260407T195334_699_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5370.0,837.113525390625,174.0236540329537,18.199747936311873,0.16924658370886436
20260407T195338_670_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5371.0,839.4510498046875,174.05606067243843,18.199545769622013,0.16968758234461911
20260407T195342_642_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5374.0,838.9207153320312,174.1532805908926,18.198939495317887,0.16948571280907823
20260407T195346_614_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5378.0,840.5067749023438,174.28290714883147,18.198131655842555,0.16967984483292575
20260407T195350_586_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5378.0,839.5311889648438,174.28290714883147,18.198131655842555,0.16948289547399237
20260407T195354_558_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5394.0,840.0467529296875,174.80141338058704,18.19490629526858,0.16908393764474636
20260407T195358_529_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5373.0,839.3588256835938,174.12087395140787,18.19914154913903,0.16960578392791326
20260407T195402_501_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5375.0,839.2457885742188,174.1856872303773,18.198737479091655,0.16951984235442408
20260407T195406_473_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5385.0,839.1898803710938,174.50975362522453,18.196719381475763,0.16919377030991578
20260407T195410_445_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5366.0,837.5061645507812,173.8940274750148,18.20055697972096,0.16945218838106288
